,index,ident,year,country,year1,countryyear,country3,year11,gdpg,gdp,bb,infl,sacw,govc,ethnf,assas,icrge,m2_1,ssa,easia,lpop,egypt,centam,frz,arms_1,dn1900,eda,beda,meda,wbeda,popdep,lgdp,bb100,infl100,ethnf100,ethnfassas,year2,year3,year4,year5,year6,year7,yearid,policy,edapolicy,eda2policy,gambia6,lgdp2
20,152.0,22.0,5.0,BRAZIL,1982-85,BRA5,BRA,8.0,0.34633392968173027,3968.0,-5.6675513192129,95.97879979533698,0.0,9.45516558382004,7.0,0.0,6.359375,13.259137408715958,0.0,0.0,18.689155149583875,0.0,0.0,0.0,0.8,1.0,0.01348874164111454,0.014599942393473305,-0.0011112007523587635,-0.008972727926256958,69.13817499999999,8.286017468404763,-0.056675513192129004,0.9597879979533698,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,-0.45180429197877026,-0.0060942713668483105,-8.220405195825882e-05,0.0,7.797291273547472
21,153.0,22.0,6.0,BRAZIL,1986-89,BRA6,BRA,1.0,1.6765917461321056,4294.0,-14.163785092598582,169.41889224235345,0.0,12.423328345492896,7.0,0.25,6.359375,11.599206815256316,0.0,0.0,18.76874446752912,0.0,0.0,0.0,0.4,1.0,0.008539370981871552,0.01902695185121979,-0.010487580869348239,-0.013745240472143693,66.18,8.364973978438726,-0.14163785092598583,1.6941889224235345,0.07,0.0175,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-2.060122738250268,-0.0175921523301081,-0.00015022591511638914,0.0,7.797291273547472
22,154.0,22.0,7.0,BRAZIL,1990-93,BRA7,BRA,2.0,-2.0486289437566363,4042.0,-3.3456471524277442,265.50975185407486,0.75,15.896084991097462,7.0,1.5,6.359375,33.728611515289444,0.0,0.0,18.842145505576045,0.0,0.0,0.0,1.725,1.0,0.022711126211428536,0.023485723518436228,-0.0007745973070076914,-0.005205517482710753,63.045300000000005,8.304494897963567,-0.03345647152427744,2.6550975185407486,0.07,0.10500000000000001,0.0,0.0,0.0,0.0,0.0,1.0,6.0,-1.0455982863051287,-0.02374671464672917,-0.0005393146334486448,0.0,7.797291273547472
23,192.0,28.0,3.0,CAMEROON,1974-77,CMR3,CMR,8.0,4.224089714375978,902.0,-1.5902649512827296,12.947688380773315,0.0,10.626417247444294,89.0,0.0,5.65625,16.424113530854584,1.0,0.0,15.848833551029594,0.0,0.0,1.0,0.0,0.0,2.5106111983648036,1.8611767449195187,0.6494344534452854,0.2134485664635641,88.653875,6.804614520062624,-0.015902649512827296,0.12947688380773315,0.89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9881273223707815,2.4808035209543124,6.2283331006507305,0.0,6.6895992691789665
24,193.0,28.0,4.0,CAMEROON,1978-81,CMR4,CMR,1.0,11.107440507704736,972.0,0.10324818633347466,9.357853226693136,0.0,9.10706711471036,89.0,0.0,5.65625,20.423172961162194,1.0,0.0,15.960250781005426,0.0,0.0,1.0,0.9,0.0,2.035232529795616,1.4129364573934178,0.6222960724021981,0.19244948301138778,91.66182500000001,6.879355804460439,0.0010324818633347466,0.09357853226693136,0.89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.154237063962775,2.3491408196728227,4.7810478132688665,0.0,6.6895992691789665
25,194.0,28.0,5.0,CAMEROON,1982-85,CMR5,CMR,2.0,1.3706853068216063,1281.0,-0.5904746616340318,11.692798223111067,0.0,8.991120649743815,89.0,0.0,5.65625,22.85289572761412,1.0,0.0,16.07322902961821,0.0,0.0,1.0,0.725,0.0,1.2025286513143507,0.9329857109931505,0.26954294032120024,0.08923858955591842,93.35964999999999,7.155396301896734,-0.005904746616340318,0.11692798223111067,0.89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0741073360134792,1.2916448461431393,1.5532399348096413,0.0,6.6895992691789665
26,195.0,28.0,6.0,CAMEROON,1986-89,CMR6,CMR,3.0,-4.19925693896861,1499.0,-3.1794099748796616,4.954441564825718,0.0,10.629576680766863,89.0,0.0,5.65625,22.893319207351706,1.0,0.0,16.188176596944125,0.0,0.0,1.0,4.25,0.0,1.4245052836142735,1.0346865423713867,0.38981874124288696,-0.012661467117244463,93.54342499999998,7.312553498102598,-0.031794099748796614,0.04954441564825718,0.89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.9911023305899719,1.4118305065278354,2.0111600161167176,0.0,6.6895992691789665
27,196.0,28.0,7.0,CAMEROON,1990-93,CMR7,CMR,4.0,-8.29374824247382,1226.0,-3.937572652010129,-0.5304451489589912,0.25,11.580120809733586,89.0,0.0,5.65625,19.79361365659515,1.0,0.0,16.302028409070047,0.0,0.0,1.0,0.6,0.0,2.205200353636285,1.5908472067110613,0.6143531469252242,-0.031006694957716605,92.48775,7.111512116496157,-0.03937572652010129,-0.005304451489589912,0.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.5550391995084727,3.4291729926743697,7.562013496125519,0.0,6.6895992691789665
28,226.0,33.0,2.0,CHILE,1970-73,CHL2,CHL,2.0,-0.4672110155472975,3605.0,-7.515899265495307,63.79685758404672,0.0,13.958428952220336,14.0,1.0,6.325521,14.203668745229924,0.0,0.0,16.091784015958186,0.0,0.0,0.0,1.367,1.0,0.2475309487228256,0.20336238568544251,0.04416856303738317,-2.4676433894359654e-07,78.116125,8.190077049719049,-0.07515899265495307,0.6379685758404672,0.14,0.14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.12839441123419404,-0.03178159042350867,-0.007866927229451369,0.0,8.190077049719049
29,227.0,33.0,3.0,CHILE,1974-77,CHL3,CHL,3.0,-1.160746077511421,3561.0,-1.24783548493744,128.6610365129271,0.5,14.988811997914034,14.0,0.75,6.325521,24.68722976906513,0.0,0.0,16.158171767380654,0.0,0.0,0.0,2.825,1.0,0.24444549231546175,0.19367332247235566,0.05077216984310604,-0.0012256810137766055,72.104375,8.177796683277778,-0.0124783548493744,1.286610365129271,0.14,0.10500000000000001,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.47210144177610114,0.11540306935779834,0.028209760103882393,0.0,8.190077049719049
30,228.0,33.0,4.0,CHILE,1978-81,CHL4,CHL,4.0,5.485221911979243,3419.0,3.1796098014266896,27.65084780187612,1.0,13.58162577867685,14.0,0.75,6.325521,16.97873526139142,0.0,0.0,16.219184556265223,0.0,0.0,0.0,3.875,1.0,0.12762503475080647,0.09901760480502748,0.028607429945778994,-0.002711617583963976,65.10542500000001,8.137103389639302,0.031796098014266895,0.2765084780187612,0.14,0.10500000000000001,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.265663317959187,0.4167803944389752,0.053191612323729036,0.0,8.190077049719049
31,229.0,33.0,5.0,CHILE,1982-85,CHL5,CHL,5.0,-1.6943566577265035,3460.0,-2.2158967817124564,19.61831736685583,1.0,14.344692210899055,14.0,0.5,6.325521,24.449515129309315,0.0,0.0,16.282768633816477,0.0,0.0,0.0,4.025,1.0,0.11567985964728977,0.1026125280800668,0.01306733156722295,-0.012512533412671197,60.047275,8.14902386805177,-0.022158967817124564,0.1961831736685583,0.14,0.07,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0086420938492444,0.3480392951454086,0.04026113681416253,0.0,8.190077049719049
32,230.0,33.0,6.0,CHILE,1986-89,CHL6,CHL,6.0,5.363076681509993,3572.0,0.2783647866316177,16.338255278286507,1.0,10.920500177079523,14.0,0.5,6.325521,38.739021622715036,0.0,0.0,16.34966758346844,0.0,0.0,0.0,4.175,1.0,0.04089117381259589,0.10453124314716787,-0.06364006933457199,-0.04643802132130472,57.57297500000001,8.18088094199639,0.002783647866316177,0.16338255278286506,0.14,0.07,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.2252321902502663,0.13188353007750298,0.005392872351417892,0.0,8.190077049719049
33,231.0,33.0,7.0,CHILE,1990-93,CHL7,CHL,7.0,5.000323554515607,4338.0,1.619668791213993,17.293711584824756,1.0,9.601802030195525,14.0,2.25,6.325521,39.179820795083515,0.0,0.0,16.41692164857677,0.0,0.0,0.0,1.375,1.0,0.15884334701189393,0.1570233196213476,0.0018200273905463016,-0.012042288623041488,56.736850000000004,8.37516869138682,0.01619668791213993,0.17293711584824756,0.14,0.31500000000000006,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.30368640583348,0.5247686061802841,0.08335600181244278,0.0,8.190077049719049
34,240.0,35.0,2.0,COLOMBIA,1970-73,COL2,COL,8.0,4.283107506599038,2140.0,-1.8130687811726114,11.691362591593776,0.0,9.812715398807681,6.0,0.0,5.296875,18.84443497541228,0.0,0.0,16.909464677396752,0.0,0.0,0.0,1.467,1.0,0.32833839477949106,0.26332873055587247,0.06500966422361859,-0.00886374619731693,93.5542,7.668561108015897,-0.018130687811726113,0.11691362591593776,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9904408398081805,0.32519975546666907,0.10677556569260914,0.0,7.668561108015897
35,241.0,35.0,3.0,COLOMBIA,1974-77,COL3,COL,1.0,1.9204183047392576,2511.0,0.03685060155610054,22.340777830581327,0.0,8.399507527617555,6.0,0.75,5.296875,19.73998735368456,0.0,0.0,16.995536400949863,0.0,0.0,0.0,2.175,1.0,0.13453134455420215,0.1158081443130621,0.01872320024114005,-0.010101012135709657,84.4128,7.828436359157585,0.0003685060155610054,0.22340777830581326,0.06,0.045,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9681804769827238,0.1302506213396146,0.017522791217838608,0.0,7.668561108015897
36,242.0,35.0,4.0,COLOMBIA,1978-81,COL4,COL,2.0,2.6671550712814796,2797.0,-1.223816700627335,21.566270969088524,0.0,9.600079957703676,6.0,1.25,5.296875,19.63487964708566,0.0,0.0,17.083196546801908,0.0,0.0,0.0,0.9,1.0,0.08372006561801822,0.06248867408759575,0.02123139153042245,-0.0009179675972812828,75.2341,7.936302693201959,-0.012238167006273351,0.21566270969088525,0.06,0.075,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.892716025677426,0.07473824424797054,0.006257090712615566,0.0,7.668561108015897
37,243.0,35.0,5.0,COLOMBIA,1982-85,COL5,COL,3.0,0.041950913299126924,2943.0,-3.9862097521946076,19.12285401406222,0.0,10.903150076669485,6.0,0.5,5.296875,20.150597008981272,0.0,0.0,17.173765643298598,0.0,0.0,0.0,0.825,1.0,0.07756048580991755,0.05277643340925493,0.0247840524006626,-0.016395252367884503,69.3151,7.987184748233473,-0.039862097521946076,0.1912285401406222,0.06,0.03,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.7377911450624781,0.05722343963730115,0.00443827777798357,0.0,7.668561108015897
