Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.5072310677872,39.161310593977,40.0865683162181,36.8606199314744,41.1074055245691,37.2232020605014,25.8141448493311,16.4298391244864,18.3887630609543,17.6402492871278,16.5401808607734,18.7336323033612,21.0035442964331,16.3314899348223,18.3204862990006,27.8896490897327,20.5828137409451,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.442569906498,25.491165501885,39.0898738521361,40.8895423032538,31.625089383065,25.2092760118946,25.6993821782829,31.8821341493395,33.5497338237842,46.7860030305786,47.2509161501438,54.0004715263133,82.6267905330769,36.8045603747725,19.5969722754667,27.7942274483666,13.7735735837108,7.11988638915307,10.6093194321427,7.55331988422544,2.22204454672034,2.37490356766981,2.56182562734428,3.23961030038613,4.02168823809504,4.34621930158652,4.713053163859,4.54351771426527,4.13912538643731,4.22429513067052,3.68014222549084,4.13694906526783,9.71999365639716,6.14307663147802,5.44691311239594,3.57980478891976,4.36649800099212,28.2657934681397,7.84353949286245,6.04074120731658,8.53582922348301,7.12349997862488,7.85942612686107,9.61670999789247,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.91377918439901,9.82256906093549,6.82680040425371,7.72403837289436,6.73894258187897,8.15370263260624,7.87529915757123,7.09075715775202,8.72008824051542,9.19501032385473,8.21062200792116,5.7950940814119,8.25038551518389,7.21727604319697,6.39282308884736,3.73072844858007,4.53291702732051,5.46092246228974,3.97917586395935,6.12852367846242,4.01024148776677,4.16220097123828,3.17419979296484,3.61775578306155,2.79730242592317,1.93350981989815,2.49203783081764,2.80975716221508,2.21380661499635,2.24562733755722,3.48764996238026,2.57160511540398,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100.780619675296,71.4463607546039,102.915784877448,75.3500892181253,63.5503578892689,39.6228339926623,22.9614218581968,31.1270780571439,22.9433126731608,27.6144543693449,39.000619841117,..,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.665322547619,33.4503069894026,25.20181181753,38.6454604929527,36.0198302030606,35.6715005966153,35.8923950821154,31.2919492636622,31.0192120126221,33.4184587164356,46.9914868380387,49.5978155286343,44.1692755019629,57.1628611925333,42.2623325368177,39.0824352234038,39.0944990705616,26.3973825785657,25.8457665546494,22.9438331127402,18.7248179050203,16.2128069374509,21.0518774095806,16.8426047021825,17.0520464012117,19.771162698817,19.2974804005355,22.6312371239799,18.1212213338935,14.529660744322,14.934714890755,14.8812161117835,13.7948700744542,13.7578536830236,12.7999685517434,11.3747793594262,11.0472028038118,11.4752156352311,9.99400196876441,15.700801324526,10.449142587777,10.4890773890588,9.60444345689533,9.50672275222601,15.9505100179106,9.11053824223511,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.55831539244682,3.75831909657582,13.9337367094048,17.4856093210402,7.69762776201875,9.48280904678164,8.604288800371,9.08443984250421,8.41134731402536,13.4149249936794,12.7170671811963,19.6849898570311,27.5765851151901,36.1835746111763,66.7407299975986,43.0617712881556,25.3442617093787,37.5996633405951,38.4221191900762,54.1606367474901,18.7445751911776,26.8928576634128,26.4451617145678,21.5402108263574,36.6486033546937,18.6736978363092,31.3708316395281,41.2757306653102,21.3461030176251,15.4296096059047,15.5111580827411,11.9138253210174,14.1803874598186,9.29145315123621,7.87016555082715,7.03224708144602,6.3862124245578,5.54469308889488,5.77868093620552,5.41112673404307,6.74164202343282,4.72052487062196,5.69782118184595,6.75230341356708,8.13997691080356,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.061188286525,61.327356150683,40.0491525992565,25.0195412816308,25.3202629859416,22.641437805324,16.2780834884811,22.9770889529586,33.3794374167885,32.387600891105,35.1070652372179,55.7627991786802,52.7637208766037,49.2240325964201,49.5453237857997,44.0901552368306,48.2729618106538,56.4424579644147,54.7393194756522,64.1187128265456,80.0991834025867,53.3791289939236,45.2875843204796,68.1161574588511,49.3240575463439,36.856330523615,43.0207877961208,51.1724628830373,52.4963821345355,66.255336218421,61.4510535706797,47.7363752463226,48.4490803700966,42.7955125723351,30.5529809857365,17.644289022174,25.398871862212,20.0722577528086,29.5573351361164,24.410144765572,26.1760425233905,27.1170754726973,34.0227345531343,37.8490130912553,35.3987781095965,38.6556114809861,49.5226146201181,39.9531775818809,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.297527084899943,0.266021814133501,0.161227311717879,0.156326990660195,0.1546240170273,0.177093308285547,0.315827292188156,0.272354361659709,0.297830762549658,1.15249632824136,0.85821336868943,1.561061344797,4.51896766138094,2.58755605379219,2.00361895227868,2.25362616109493,2.26690915638989,1.51674493470271,4.28539296153158,4.18261873706122,3.71882835719739,4.45988433980474,1.02133557520643,1.12982078755107,0.895866985148543,1.60606520526476,1.23000252673188,2.4450023776276,17.8957705658638,26.9697436153359,3.21301709750321,1.58531545641104,2.528758964774,2.24815674292201,1.58103316138444,1.84395796354494,2.44113522665505,2.31120675484681,2.84104991173833,4.58345322735884,5.52343548157046,3.88895252264153,2.9166951906756,4.29198496967725,4.3062282575614,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.63101263973624,6.29568172979411,6.31713166068128,16.8835208835059,13.2748232101562,15.0784827789408,14.3447296421985,11.7011666512763,8.86636853518021,6.7023178905204,5.10749424164598,3.48065131393986,2.81420353034177,3.61109239096356,3.35661047990277,2.61730029022702,2.1338268447113,2.75191777465714,2.71602528109975,3.05253655008853,2.19827218019709,1.77591254568657,1.71415943339127,1.34921608296704,3.00309593496752,2.77609149969664,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.5735463457989,10.1939560965446,12.1985032475801,26.1443112391644,4.12899774609605,14.6092514295347,8.27669424375792,7.56350362773722,3.63643407699055,2.01299648897519,2.74866576836109,1.75192839048298,2.8330825212809,1.57101503510637,0.159297316273861,0.729580787376663,1.71750712775735,0.280395824995546,0.748011163452471,2.30564862590575,2.92385499972415,1.30951122967702,1.32639190991458,1.43917896321021,6.99580802688565,0.774939519310903,1.06503592030703,0.0992512397522013,0.908211055955329,0.675791037476888,0.824029436217292,0.146904153597118,0.334036782479303,0.955090410907769,0.245221450731749,0.573230519835063,-0.0749222643420851,..,..,..,..,..,..,..,..,..,..,..,..
